stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,corner_placement,stop_position,on_street,at_street,heading
6164,6164,Greenlawn/Stratford,000000 GREENLAWN & STRATFORD,30.492075,-97.663840,,https://www.capmetro.org/stopdetail/index.php?stop=6164,,,,0,Northwest,Nearside,GREENLAWN,STRATFORD,160
6165,6165,Gattis School/Greenlawn,000000 GATTIS SCHOOL & GREENLAWN,30.496084,-97.666543,,https://www.capmetro.org/stopdetail/index.php?stop=6165,,,,0,Northwest,Mid-Block,GATTIS SCHOOL,GREENLAWN,261
6167,6167,Lawnmont/Gattis School,000000 LAWNMONT & GATTIS SCHOOL,30.496058,-97.669247,,https://www.capmetro.org/stopdetail/index.php?stop=6167,,,,0,Northeast,Mid-Block,LAWNMONT,GATTIS SCHOOL,0
6169,6169,School Days/Lawnmont,000000 SCHOOL DAYS & LAWNMONT,30.498270,-97.669515,,https://www.capmetro.org/stopdetail/index.php?stop=6169,,,,0,Northwest,Farside,SCHOOL DAYS,LAWNMONT,267
6170,6170,School Days/Lawnmont,000000 SCHOOL DAYS & LAWNMONT,30.498146,-97.669514,,https://www.capmetro.org/stopdetail/index.php?stop=6170,,,,0,Southwest,Nearside,SCHOOL DAYS,LAWNMONT,87
6171,6171,School Days/Cushing,000000 SCHOOL DAYS & CUSHING,30.498148,-97.674554,,https://www.capmetro.org/stopdetail/index.php?stop=6171,,,,0,Northeast,Mid-Block,SCHOOL DAYS,CUSHING,269
6172,6172,School Days/Cushing,000000 SCHOOL DAYS & CUSHING,30.498022,-97.674603,,https://www.capmetro.org/stopdetail/index.php?stop=6172,,,,0,Southeast,Farside,SCHOOL DAYS,CUSHING,89
6173,6173,Cushing/Logan,000000 CUSHING & LOGAN,30.501634,-97.675042,,https://www.capmetro.org/stopdetail/index.php?stop=6173,,,,0,Southeast,Mid-Block,CUSHING,LOGAN,1
6174,6174,Cushing/Logan,000000 CUSHING & LOGAN,30.501457,-97.675164,,https://www.capmetro.org/stopdetail/index.php?stop=6174,,,,0,Southwest,Mid-Block,CUSHING,LOGAN,181
6175,6175,Mc Neil/Round Rock West,000000 MC NEIL & ROUND ROCK WEST,30.500668,-97.684984,,https://www.capmetro.org/stopdetail/index.php?stop=6175,,,,0,Northeast,Nearside,MC NEIL,ROUND ROCK WEST,223
6176,6176,Round Rock West/Mc Neil,000000 ROUND ROCK WEST & MC NEIL,30.500964,-97.685888,,https://www.capmetro.org/stopdetail/index.php?stop=6176,,,,0,Northwest,Mid-Block,ROUND ROCK WEST,MC NEIL,151
6177,6177,Round Rock West/Park,000000 ROUND ROCK WEST & BLUFF,30.503531,-97.691724,,https://www.capmetro.org/stopdetail/index.php?stop=6177,,,,0,Southwest,Mid-Block,ROUND ROCK WEST,BLUFF,81
6178,6178,Round Rock West/Park,000000 ROUND ROCK WEST & BLUFF,30.503640,-97.692045,,https://www.capmetro.org/stopdetail/index.php?stop=6178,,,,0,Northwest,Mid-Block,ROUND ROCK WEST,BLUFF,261
6179,6179,Lake Creek/Westwood,000000 LAKE CREEK & WESTWOOD,30.507696,-97.694401,,https://www.capmetro.org/stopdetail/index.php?stop=6179,,,,0,Northeast,Farside,LAKE CREEK,WESTWOOD,350
6180,6180,Lake Creek/Westwood,000000 LAKE CREEK & WESTWOOD,30.508089,-97.694652,,https://www.capmetro.org/stopdetail/index.php?stop=6180,,,,0,Northwest,Mid-Block,LAKE CREEK,WESTWOOD,170
6181,6181,Oakwood/Round Rock Ave,000000 OAKWOOD & ROUND ROCK,30.511175,-97.710394,,https://www.capmetro.org/stopdetail/index.php?stop=6181,,,,0,Northeast,Mid-Block,OAKWOOD,ROUND ROCK,342
6182,6182,Park Valley/Oakwood,000000 PARK VALLEY & OAKWOOD,30.512175,-97.713560,,https://www.capmetro.org/stopdetail/index.php?stop=6182,,,,0,Northwest,Mid-Block,PARK VALLEY,OAKWOOD,248
6183,6183,8515 Loyola/Decker,008515 LOYOLA & DECKER,30.291672,-97.628589,,https://www.capmetro.org/stopdetail/index.php?stop=6183,,,,0,Northwest,Farside,LOYOLA,DECKER,301
6184,6184,La Frontera/Hesters Crossing,000000 LA FRONTERA & HESTERS CROSSING,30.483887,-97.686873,,https://www.capmetro.org/stopdetail/index.php?stop=6184,,,,0,Southwest,Mid-Block,LA FRONTERA,HESTERS CROSSING,153
6185,6185,Hesters Crossing/Kouri,000000 HESTERS CROSSING & KOURI,30.484840,-97.685282,,https://www.capmetro.org/stopdetail/index.php?stop=6185,,,,0,Southwest,Nearside,HESTERS CROSSING,KOURI,59
6186,6186,La Frontera/Sundance,000000 LA FRONTERA & SUNDANCE,30.481529,-97.685806,,https://www.capmetro.org/stopdetail/index.php?stop=6186,,,,0,Southwest,Farside,LA FRONTERA,SUNDANCE,159
6187,6187,La Frontera Blvd/Sundance Pkwy,000000 LA FRONTERA Blvd & SUNDANCE Pkwy,30.481699,-97.685590,,https://www.capmetro.org/stopdetail/index.php?stop=6187,,,,0,Southeast,Nearside,LA FRONTERA Blvd,SUNDANCE Pkwy,338
6188,6188,Hesters Crossing/Rawhide,000000 HESTERS CROSSING & RAWHIDE,30.487237,-97.680809,,https://www.capmetro.org/stopdetail/index.php?stop=6188,,,,0,Northwest,Farside,HESTERS CROSSING,RAWHIDE,241
6189,6189,Hesters Crossing/Rawhide,000000 HESTERS CROSSING & RAWHIDE,30.487468,-97.679853,,https://www.capmetro.org/stopdetail/index.php?stop=6189,,,,0,Southeast,Farside,HESTERS CROSSING,RAWHIDE,60
6190,6190,1816 Mays/Tower,000000 MAYS & TOWER,30.492449,-97.675522,,https://www.capmetro.org/stopdetail/index.php?stop=6190,,,,0,Northeast,Farside,MAYS,TOWER,357
6191,6191,Mays/Tower,000000 MAYS & GATTIS SCHOOL,30.491960,-97.675750,,https://www.capmetro.org/stopdetail/index.php?stop=6191,,,,0,Southwest,Mid-Block,MAYS,GATTIS SCHOOL,177
6192,6192,Mays/Shipley,000000 MAYS & GATTIS SCHOOL,30.496413,-97.675990,,https://www.capmetro.org/stopdetail/index.php?stop=6192,,,,0,Northwest,Mid-Block,MAYS,GATTIS SCHOOL,177
6193,6193,Mays/Mays Crossing,000000 MAYS & MAYS CROSSING,30.499799,-97.676214,,https://www.capmetro.org/stopdetail/index.php?stop=6193,,,,0,Southwest,Mid-Block,MAYS,MAYS CROSSING,175
6194,6194,Mays/Mays Crossing,000000 MAYS & MAYS CROSSING,30.500578,-97.676059,,https://www.capmetro.org/stopdetail/index.php?stop=6194,,,,0,Northeast,Farside,MAYS,MAYS CROSSING,353
6195,6195,Main/Burnet,000000 Main Ave & Burnet St,30.509196,-97.676355,,https://www.capmetro.org/stopdetail/index.php?stop=6195,,,,0,Southeast,Farside,Main Ave,Burnet St,73
6196,6196,Main/Burnet,000000 MAIN & BURNET,30.509463,-97.675994,,https://www.capmetro.org/stopdetail/index.php?stop=6196,,,,0,Northwest,Farside,MAIN,BURNET,253
6197,6197,Main St/Georgetown St,000000 MAIN ST & GEORGETOWN ST,30.510439,-97.671924,,https://www.capmetro.org/stopdetail/index.php?stop=6197,,,,0,Southwest,Mid-Block,MAIN ST,GEORGETOWN ST,69
6198,6198,Georgetown/Main,000000 GEORGETOWN & MAIN,30.510954,-97.671636,,https://www.capmetro.org/stopdetail/index.php?stop=6198,,,,0,Northwest,Mid-Block,GEORGETOWN,MAIN,180
6199,6199,Georgetown/Palm Valley,000000 GEORGETOWN & PALM VALLEY,30.516627,-97.670963,,https://www.capmetro.org/stopdetail/index.php?stop=6199,,,,0,Southeast,Mid-Block,GEORGETOWN,PALM VALLEY,13
6200,6200,Georgetown/Palm Valley,000000 GEORGETOWN & PALM VALLEY,30.517453,-97.670963,,https://www.capmetro.org/stopdetail/index.php?stop=6200,,,,0,Southwest,Mid-Block,GEORGETOWN,PALM VALLEY,188
6201,6201,Plateau Vista/Aw Grimes,000000 PLATEAU VISTA Blvd & AW GRIMES,30.521138,-97.657237,,https://www.capmetro.org/stopdetail/index.php?stop=6201,,,,0,Northwest,Mid-Block,PLATEAU VISTA Blvd,AW GRIMES,272
6202,6202,Plateau Vista/Aw Grimes,000000 PLATEAU VISTA & AW GRIMES,30.520992,-97.657819,,https://www.capmetro.org/stopdetail/index.php?stop=6202,,,,0,Southwest,Mid-Block,PLATEAU VISTA,AW GRIMES,92
6203,6203,Mesa Park/Bayland,000000 MESA PARK & BAYLAND,30.520856,-97.661434,,https://www.capmetro.org/stopdetail/index.php?stop=6203,,,,0,Southwest,Mid-Block,MESA PARK,BAYLAND,89
6204,6204,Mesa Park/Bayland,000000 MESA PARK & BAYLAND,30.520999,-97.661556,,https://www.capmetro.org/stopdetail/index.php?stop=6204,,,,0,Northwest,Mid-Block,MESA PARK,BAYLAND,269
6205,6205,Sunrise/Greenfield,000000 SUNRISE & GREENFIELD,30.522608,-97.667727,,https://www.capmetro.org/stopdetail/index.php?stop=6205,,,,0,Northeast,Nearside,SUNRISE,GREENFIELD,0
6206,6206,Sunrise/Greenfield,000000 SUNRISE & GREENFIELD,30.523172,-97.667891,,https://www.capmetro.org/stopdetail/index.php?stop=6206,,,,0,Northwest,Nearside,SUNRISE,GREENFIELD,180
